[11552:3524:0811/115716.766:INFO:CONSOLE(7)] "SW registered", source: https://www.google.com/_/chrome/newtab?ie=UTF-8 (7)
[11552:8380:0811/121200.594:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[11552:8380:0811/121200.605:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[11552:8380:0811/121205.619:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[11552:8380:0811/121210.634:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[11552:8380:0811/121215.658:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[11552:3524:0811/121216.585:INFO:CONSOLE(67)] "WebSocket connection to 'wss://oppush.livesport.eu/WebSocketConnection-Secure' failed: Error in connection establishment: net::ERR_INTERNET_DISCONNECTED", source: http://www.oddsportal.com/res/x/pushclient-180809075244.js (67)
[11552:8380:0811/121220.683:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[11552:3524:0811/121222.656:INFO:CONSOLE(67)] "WebSocket connection to 'wss://oppush.livesport.eu/WebSocketConnection-Secure' failed: Error in connection establishment: net::ERR_INTERNET_DISCONNECTED", source: http://www.oddsportal.com/res/x/pushclient-180809075244.js (67)
[11552:8380:0811/121225.700:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[11552:8380:0811/121230.716:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[11552:8380:0811/121235.739:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[11552:3524:0811/121235.925:INFO:CONSOLE(67)] "WebSocket connection to 'wss://oppush.livesport.eu/WebSocketConnection-Secure' failed: Error in connection establishment: net::ERR_INTERNET_DISCONNECTED", source: http://www.oddsportal.com/res/x/pushclient-180809075244.js (67)
[11552:8380:0811/121240.760:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[11552:8380:0811/121245.780:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[11552:8380:0811/121250.796:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[11552:8380:0811/121255.803:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[11552:8380:0811/121300.827:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[11552:8380:0811/121305.837:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[11552:8380:0811/121310.853:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[11552:3524:0811/121314.511:INFO:CONSOLE(67)] "WebSocket connection to 'wss://oppush.livesport.eu/WebSocketConnection-Secure' failed: Error in connection establishment: net::ERR_INTERNET_DISCONNECTED", source: http://www.oddsportal.com/res/x/pushclient-180809075244.js (67)
[11552:8380:0811/121315.876:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[11552:8380:0811/121320.898:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[11552:8380:0811/121325.915:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[11552:8380:0811/121330.940:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[11552:8380:0811/121335.964:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[11552:8380:0811/121340.995:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[11552:8380:0811/121346.020:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[11552:8380:0811/121351.046:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[11552:8380:0811/121356.072:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
